energy,axis,section,layer,mu1,sigma1,amp1,mu2,sigma2,amp2
150,x,0,5,494.19,34.19,79.39,473.53,318.58,11.98
150,x,1,0,506.15,16.22,183.12,498.42,96.81,41.39
150,x,1,1,517.79,18.32,148.7,516.97,119.82,36.58
150,x,1,2,515.46,21.62,112.13,515.68,143.09,27.05
150,x,1,3,498.46,23.67,96.02,497.18,174.09,22.24
150,x,1,4,513.7,26.89,87.53,507.09,216.69,17.96
150,x,1,5,496.39,29.8,73.97,487.08,245.68,16.21
150,y,0,0,273.74,17.76,195.82,264.56,103.7,37.0
150,y,0,1,277.71,20.03,161.19,266.53,121.66,34.37
150,y,0,2,282.54,22.15,124.49,269.53,144.21,28.59
150,y,0,3,282.0,23.05,105.01,274.03,153.54,27.66
150,y,0,4,284.51,27.49,89.21,272.3,172.75,24.91
150,y,0,5,282.55,29.18,75.68,271.75,169.76,24.75
150,y,1,0,272.06,17.86,181.02,272.88,102.5,39.81
150,y,1,1,276.19,20.7,145.18,271.48,128.97,36.09
150,y,1,2,279.7,22.95,107.55,279.01,135.66,31.59
150,y,1,3,280.46,25.63,85.85,289.28,159.8,28.12
150,y,1,4,284.08,31.23,76.16,300.69,188.59,24.4
150,y,1,5,281.31,35.79,63.19,285.77,202.48,22.83
180,x,0,0,506.06,15.4,167.13,500.3,111.76,61.84
180,x,0,1,518.09,17.32,140.96,517.28,137.89,49.16
180,x,0,2,516.73,20.99,107.12,513.39,172.74,34.77
180,x,0,3,501.42,23.52,89.45,495.12,190.07,28.8
180,x,0,4,516.42,25.63,80.4,503.78,227.46,24.02
180,x,0,5,497.76,28.16,70.13,494.97,247.44,20.64
180,x,1,0,505.04,17.62,155.0,501.28,115.89,57.58
180,x,1,1,516.89,21.0,126.11,518.11,139.55,47.43
180,x,1,2,516.64,24.2,97.25,516.85,172.16,34.66
180,x,1,3,501.35,29.51,79.42,500.86,200.97,27.25
180,x,1,4,516.11,33.35,71.09,510.54,230.51,22.24
180,x,1,5,497.85,35.74,61.0,493.0,235.14,20.38
180,y,0,0,224.8,24.76,-142.4,248.56,49.19,236.0
180,y,0,1,276.81,18.83,123.18,265.78,126.58,59.5
180,y,0,2,279.46,22.46,94.39,269.72,146.16,46.63
180,y,0,3,280.33,25.28,78.4,266.96,155.13,40.4
180,y,0,4,282.92,28.91,70.95,270.91,181.16,34.94
180,y,0,5,280.32,31.86,60.89,273.72,197.48,30.83
180,y,1,0,272.93,18.96,161.96,258.85,112.66,60.98
180,y,1,1,278.24,21.95,131.86,256.2,135.16,52.34
180,y,1,2,283.13,23.69,98.87,262.28,144.2,45.39
180,y,1,3,284.3,25.2,80.7,261.4,155.55,40.94
180,y,1,4,286.48,26.6,69.75,266.57,155.04,39.13
180,y,1,5,284.2,28.66,63.6,262.23,174.32,33.38
200,x,0,0,504.37,17.47,385.49,508.35,141.19,180.88
200,x,0,1,516.75,20.51,307.86,525.37,163.11,151.16
200,x,0,2,515.59,23.62,222.86,520.22,189.42,112.41
