energy,axis,section,layer,mu1,sigma1,amp1,mu2,sigma2,amp2
180,x,0,2,516.73,20.99,107.12,513.39,172.74,34.77
180,x,0,3,501.42,23.52,89.45,495.12,190.07,28.8
180,x,0,4,516.42,25.63,80.4,503.78,227.46,24.02
180,x,0,5,497.76,28.16,70.13,494.97,247.44,20.64
180,x,1,0,505.04,17.62,155.0,501.28,115.89,57.58
180,x,1,1,516.89,21.0,126.11,518.11,139.55,47.43
180,x,1,2,516.64,24.2,97.25,516.85,172.16,34.66
180,x,1,3,501.35,29.51,79.42,500.86,200.97,27.25
180,x,1,4,516.11,33.35,71.09,510.54,230.51,22.24
180,x,1,5,497.85,35.74,61.0,493.0,235.14,20.38
180,y,0,0,224.8,24.76,-142.4,248.56,49.19,236.0
180,y,0,1,276.81,18.83,123.18,265.78,126.58,59.5
180,y,0,2,279.46,22.46,94.39,269.72,146.16,46.63
180,y,0,3,280.33,25.28,78.4,266.96,155.13,40.4
180,y,0,4,282.92,28.91,70.95,270.91,181.16,34.94
180,y,0,5,280.32,31.86,60.89,273.72,197.48,30.83
180,y,1,0,272.93,18.96,161.96,258.85,112.66,60.98
180,y,1,1,278.24,21.95,131.86,256.2,135.16,52.34
180,y,1,2,283.13,23.69,98.87,262.28,144.2,45.39
180,y,1,3,284.3,25.2,80.7,261.4,155.55,40.94
180,y,1,4,286.48,26.6,69.75,266.57,155.04,39.13
180,y,1,5,284.2,28.66,63.6,262.23,174.32,33.38
200,x,0,0,504.37,17.47,385.49,508.35,141.19,180.88
200,x,0,1,516.75,20.51,307.86,525.37,163.11,151.16
200,x,0,2,515.59,23.62,222.86,520.22,189.42,112.41
200,x,0,3,499.53,28.7,182.61,504.04,216.22,90.08
200,x,0,4,513.87,32.28,160.58,512.38,235.22,76.72
200,x,0,5,496.92,37.46,139.72,494.6,261.68,61.98
200,x,1,0,504.81,19.12,342.67,506.76,140.53,182.36
200,x,1,1,517.42,22.47,280.13,523.28,166.57,148.28
200,x,1,2,516.34,26.71,207.1,518.23,193.42,110.42
200,x,1,3,500.06,32.64,162.33,505.66,219.38,89.08
