Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY,posSubX,posSubY,cposSubX,cposSubY,ID,posZ
58809,2206,497.0,277.2857142857143,1,7,0,3,502.0,297.2857142857143,497.0,276.0,497.0,277.2857142857143,3,1
58816,2206,520.0,258.0,2,1,0,4,523.0,282.0,520.0,258.0,520.0,258.0,4,2
58817,2206,519.0,261.0,2,1,0,5,522.0,285.0,519.0,261.0,519.0,261.0,5,2
58818,2206,521.0,261.0,2,1,0,6,524.0,285.0,521.0,261.0,521.0,261.0,6,2
58819,2206,491.6363636363636,277.54545454545456,2,11,0,7,494.6363636363636,301.54545454545456,491.0,276.0,491.6363636363636,277.54545454545456,7,2
58830,2206,518.75,262.75,3,4,0,8,507.75,286.75,518.0,262.0,518.75,262.75,8,3
58834,2206,517.0,264.0,3,1,0,9,506.0,288.0,517.0,264.0,517.0,264.0,9,3
58835,2206,482.0,280.7142857142857,3,7,0,10,471.0,304.7142857142857,481.0,280.0,482.0,280.7142857142857,10,3
58854,2206,514.5,264.0,4,2,0,12,518.5,289.0,514.0,264.0,514.5,264.0,12,4
58856,2206,476.0,281.2857142857143,4,7,0,13,480.0,306.2857142857143,476.0,280.0,476.0,281.2857142857143,13,4
58866,2206,471.7142857142857,281.0,5,7,0,16,457.7142857142857,303.0,471.0,280.0,471.7142857142857,281.0,16,5
58885,2209,512.0,277.57142857142856,0,7,0,0,506.0,293.57142857142856,512.0,276.0,512.0,277.57142857142856,0,0
58894,2209,515.1428571428571,277.1428571428572,1,7,0,3,520.1428571428571,297.1428571428572,515.0,276.0,515.1428571428571,277.1428571428572,3,1
58903,2209,517.5,274.25,2,4,0,6,520.5,298.25,518.0,273.0,517.5,274.25,6,2
58908,2209,518.0,272.2857142857143,3,7,0,8,507.0,296.2857142857143,518.0,271.0,518.0,272.2857142857143,8,3
58917,2209,519.0,269.6,4,5,0,11,523.0,294.6,518.0,269.0,519.0,269.6,11,4
