,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY
0,0,487,244,0,5,0,0,487.4,244.8
1,0,488,244,0,5,1,0,487.4,244.8
2,0,488,245,0,5,2,0,487.4,244.8
3,0,487,245,0,5,3,0,487.4,244.8
4,0,487,246,0,5,4,0,487.4,244.8
5,0,495,262,0,5,0,1,495.0,263.0
6,0,495,263,0,5,1,1,495.0,263.0
7,0,494,263,0,5,2,1,495.0,263.0
8,0,495,264,0,5,3,1,495.0,263.0
9,0,496,263,0,5,4,1,495.0,263.0
10,0,517,269,0,7,0,2,517.0,270.2857142857143
11,0,517,270,0,7,1,2,517.0,270.2857142857143
12,0,516,270,0,7,2,2,517.0,270.2857142857143
13,0,516,271,0,7,3,2,517.0,270.2857142857143
14,0,517,271,0,7,4,2,517.0,270.2857142857143
15,0,518,271,0,7,5,2,517.0,270.2857142857143
16,0,518,270,0,7,6,2,517.0,270.2857142857143
17,0,524,272,0,7,0,3,524.7142857142857,273.0
18,0,525,272,0,7,1,3,524.7142857142857,273.0
19,0,525,273,0,7,2,3,524.7142857142857,273.0
20,0,524,273,0,7,3,3,524.7142857142857,273.0
21,0,524,274,0,7,4,3,524.7142857142857,273.0
22,0,525,274,0,7,5,3,524.7142857142857,273.0
23,0,526,273,0,7,6,3,524.7142857142857,273.0
24,0,500,306,0,8,0,4,500.125,307.125
25,0,501,306,0,8,1,4,500.125,307.125
26,0,501,307,0,8,2,4,500.125,307.125
27,0,500,307,0,8,3,4,500.125,307.125
28,0,499,307,0,8,4,4,500.125,307.125
29,0,499,308,0,8,5,4,500.125,307.125
30,0,500,308,0,8,6,4,500.125,307.125
31,0,501,308,0,8,7,4,500.125,307.125
32,0,511,315,0,7,0,5,512.0,315.7142857142857
33,0,512,315,0,7,1,5,512.0,315.7142857142857
34,0,513,315,0,7,2,5,512.0,315.7142857142857
35,0,513,316,0,7,3,5,512.0,315.7142857142857
36,0,512,316,0,7,4,5,512.0,315.7142857142857
37,0,511,316,0,7,5,5,512.0,315.7142857142857
38,0,512,317,0,7,6,5,512.0,315.7142857142857
39,0,169,145,1,1,0,6,169.0,145.0
40,0,499,222,1,5,0,7,499.4,223.0
41,0,500,222,1,5,1,7,499.4,223.0
42,0,499,223,1,5,2,7,499.4,223.0
43,0,499,224,1,5,3,7,499.4,223.0
44,0,500,224,1,5,4,7,499.4,223.0
45,0,536,256,1,11,0,8,536.6363636363636,257.45454545454544
46,0,537,256,1,11,1,8,536.6363636363636,257.45454545454544
47,0,537,257,1,11,2,8,536.6363636363636,257.45454545454544
48,0,536,257,1,11,3,8,536.6363636363636,257.45454545454544
49,0,535,257,1,11,4,8,536.6363636363636,257.45454545454544
50,0,536,258,1,11,5,8,536.6363636363636,257.45454545454544
51,0,537,258,1,11,6,8,536.6363636363636,257.45454545454544
52,0,538,258,1,11,7,8,536.6363636363636,257.45454545454544
53,0,538,257,1,11,8,8,536.6363636363636,257.45454545454544
54,0,537,259,1,11,9,8,536.6363636363636,257.45454545454544
55,0,536,259,1,11,10,8,536.6363636363636,257.45454545454544
56,0,511,266,1,7,0,9,511.0,267.2857142857143
57,0,511,267,1,7,1,9,511.0,267.2857142857143
58,0,510,267,1,7,2,9,511.0,267.2857142857143
59,0,510,268,1,7,3,9,511.0,267.2857142857143
60,0,511,268,1,7,4,9,511.0,267.2857142857143
61,0,512,268,1,7,5,9,511.0,267.2857142857143
62,0,512,267,1,7,6,9,511.0,267.2857142857143
63,0,530,270,1,4,0,10,530.5,270.5
