smax,mcs,Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY,posSubX,posSubY,cposSubX,cposSubY,ID,posZ,S_n,theta,MyTrackID
10.0,125.60000000000001,90.0,5.0,14.74609375,6.627473958333334,0.0,9.0,0.0,0.0,503.3333333333333,245.88888888888889,508.0,229.0,509.3333333333333,229.88888888888889,0.0,50.0,0.0,0.0,0
10.0,125.60000000000001,104.0,5.0,15.296630859375,6.552978515625,1.0,8.0,0.0,3.0,522.125,243.125,517.0,222.0,517.125,223.125,3.0,75.0,0.02221851871077316,0.02221851871077316,0
10.0,125.60000000000001,117.0,5.0,15.234375,6.5765625000000005,2.0,9.0,0.0,6.0,520.0,244.0,516.0,219.0,517.0,220.0,6.0,100.0,0.033312105835484274,0.024820028636033612,0
10.0,125.60000000000001,127.0,5.0,14.879557291666668,6.504687499999999,3.0,9.0,0.0,8.0,507.8888888888889,241.3333333333333,518.0,216.0,518.8888888888889,217.3333333333333,8.0,125.0,0.03551336918001892,0.01230865530112093,0
10.0,125.60000000000001,140.0,5.0,15.4541015625,6.387890625000001,4.0,6.0,0.0,11.0,527.5,237.0,523.0,211.0,523.5,212.0,11.0,150.0,0.05143904148700308,0.03721257312502465,0
10.0,125.60000000000001,148.0,5.0,15.082031249999998,6.1318359375,5.0,10.0,0.0,13.0,514.8,227.5,528.0,204.0,528.8,205.5,13.0,175.0,0.06411126784687568,0.0382659074873733,0
10.0,125.60000000000001,99.0,5.0,15.06591796875,7.3447265625,0.0,4.0,0.0,1.0,514.25,272.5,520.0,256.0,520.25,256.5,1.0,50.0,0.0,0.0,1
10.0,125.60000000000001,112.0,5.0,15.46875,7.412109375,1.0,4.0,0.0,4.0,528.0,275.0,523.0,254.0,523.0,255.0,4.0,75.0,0.016335698960208426,0.016335698960208426,1
10.0,125.60000000000001,161.0,7.0,14.293212890625,7.3346191406250005,0.0,8.0,0.0,0.0,487.875,272.125,493.0,255.0,493.875,256.125,0.0,50.0,0.0,0.0,0
10.0,125.60000000000001,170.0,7.0,14.598214285714285,7.466015625000001,1.0,7.0,0.0,2.0,498.2857142857143,277.0,493.0,256.0,493.2857142857143,257.0,2.0,75.0,0.013283247425187664,0.013283247425187664,0
10.0,125.60000000000001,178.0,7.0,14.497767857142854,7.650837053571428,2.0,7.0,0.0,4.0,494.8571428571428,283.85714285714283,491.0,259.0,491.8571428571428,259.85714285714283,4.0,100.0,0.02107136015986452,0.01635718670273012,0
10.0,125.60000000000001,185.0,7.0,13.9306640625,7.7894531250000005,3.0,6.0,0.0,5.0,475.5,289.0,486.0,264.0,486.5,265.0,5.0,125.0,0.02820805516345257,0.018753457204410535,0
10.0,125.60000000000001,192.0,7.0,14.228515625,7.9646484375,4.0,12.0,0.0,7.0,485.6666666666667,295.5,481.0,269.0,481.6666666666667,270.5,7.0,150.0,0.04466003520975496,0.034624043219014286,0
10.0,125.60000000000001,206.0,7.0,13.5322265625,7.988906249999999,5.0,10.0,0.0,9.0,461.9,296.4,475.0,273.0,475.9,274.4,9.0,175.0,0.060096797207121314,0.04021326012172244,0
10.0,125.60000000000001,216.0,8.0,14.794921875,7.16953125,0.0,8.0,0.0,0.0,505.0,266.0,510.0,249.0,511.0,250.0,0.0,50.0,0.0,0.0,0
10.0,125.60000000000001,231.0,8.0,14.8974609375,7.419810267857143,1.0,14.0,0.0,2.0,508.5,275.2857142857143,502.0,254.0,503.5,255.28571428571428,2.0,75.0,0.01081836500616064,0.01081836500616064,0
10.0,125.60000000000001,264.0,8.0,15.255301339285714,7.616183035714285,2.0,7.0,0.0,5.0,520.7142857142857,282.57142857142856,518.0,257.0,517.7142857142857,258.57142857142856,5.0,100.0,0.015031532964981635,0.010435993573723993,0
10.0,125.60000000000001,278.0,8.0,14.860026041666666,7.882291666666667,3.0,9.0,0.0,7.0,507.22222222222223,292.44444444444446,518.0,267.0,518.2222222222222,268.44444444444446,7.0,125.0,0.033778697682983846,0.030249850146423677,0
10.0,125.60000000000001,298.0,8.0,15.188802083333334,8.073958333333334,4.0,9.0,0.0,10.0,518.4444444444445,299.55555555555554,514.0,273.0,514.4444444444445,274.55555555555554,10.0,150.0,0.044592274515259336,0.02911134708813436,0
10.0,125.60000000000001,318.0,8.0,14.47265625,8.274609375,5.0,3.0,0.0,15.0,494.0,307.0,507.0,285.0,508.0,285.0,15.0,175.0,0.06111261333423685,0.041788521894124186,0
10.0,125.60000000000001,224.0,8.0,14.698660714285715,7.3851562500000005,0.0,7.0,0.0,1.0,501.7142857142857,274.0,507.0,257.0,507.7142857142857,258.0,1.0,50.0,0.0,0.0,1
10.0,125.60000000000001,245.0,8.0,15.2490234375,7.42109375,1.0,12.0,0.0,3.0,520.5,275.3333333333333,514.0,254.0,515.5,255.3333333333333,3.0,75.0,0.022057813748007592,0.022057813748007592,1
10.0,125.60000000000001,257.0,8.0,14.677734375,7.466015625000001,2.0,7.0,0.0,4.0,501.0,277.0,498.0,252.0,498.0,253.0,4.0,100.0,0.04998959403323281,0.04485991935197424,1
10.0,125.60000000000001,271.0,8.0,14.0625,7.419810267857143,3.0,7.0,0.0,6.0,480.0,275.2857142857143,491.0,250.0,491.0,251.28571428571428,6.0,125.0,0.05015301670625988,0.004045438558544243,1
